,Sentence,pred_sentiment
297,the deal is in line with etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,neutral
298,"according to hkscan finland , the plan is to increase j+ñrvi-suomen portti 's net sales to eur 80mn to eur 100mn .",neutral
299,watch these bancos.they're holding up relatively well compared to the broad market $xlf $bac $gs $c <--large c buying in $bac in backburner,neutral
300,"the divested company is part of tietoenator 's business area government , manufacturing & retail .",neutral
301,rosen was cautious about being too optimistic inregard to the second half of the year .,neutral
302,"the seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in vietnam .",positive
303,"in the reporting period , net sales rose by 8 % year-on-year to eur64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was eur10 .9 m in the review period .",neutral
304,"apartments of yit home may be purchased in 5 regions of russia , where yit subsidiaries carry out their activities : moscow and moscow region , st. petersburg , ekaterinburg , kazan and rostov-on-don .",neutral
305,$bone earnings stocks poised to pop http://stks.co/2zwe,neutral
306,finnish kci konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,neutral
307,spain's caixabank launches new takeover bid for banco bpi,neutral
308,stock exchange announcement 20 july 2006 1 ( 1 ) basware share subscriptions with warrants and increase in share capital a total of 119 850 shares have been subscribed with basware warrant program .,positive
309,"finnish scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of eur 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",neutral
310,entertainment one dispels itv takeover rumours,neutral
311,the dividends payable annually shall be deducted from the share subscription price .,neutral
312,new product launches in finland will more than double from 2005 .,neutral
313,this assignment strengthens poyry 's position as an international provider of engineering and project services to the chemical process industry .,neutral
314,"our customers come from the following countries : uk , usa , spain , france , italy , germany , china , sweden , norway , netherlands , austria , belgium , switzerland , czech republic , serbia , finland , canada , russia , ukraine , portugal , denmark , ireland , south korea , estonia and liechtenstein .",neutral
315,"alpina sports is a lebanon , new hampshire usa based distributor of e.g. alpina ski shoes and skis , exel ski poles , start ski waxes and now also peltonen cross-country skis .",neutral
316,cargotec germany gmbh has been awarded a contract by stadtverwaltung mainz for chassis bodies under open procedure .,positive
317,reported operating margin was a negative 5.9 % .,negative
318,the purchase price was not disclosed .,neutral
319,okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,neutral
320,finnish pharmaceuticals company orion 's net sales rose to eur 190mn in the first quarter of 2009 from eur 180mn in the first quarter of 2008 .,neutral
321,the company is well positioned in brazil and uruguay .,neutral
322,"upside moves in the volatile #mining sector, sending anglo american plc $aal up 6.8% as of 4:30 pm, london time",neutral
323,sales were down 14 per cent in finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in russia and lithuania .,positive
324,$fb down 7.5% from this #bearish pattern.  considering the #bullish sentiment - that's an impressive bearish move https://t.co/tajf0ch2qh,positive
325,that would be an increase from estimated sales of 117 million last year .,neutral
326,"according to sepp+ñnen , the new technology umts900 solution network building costs are by one-third lower than that of the building of 3.5 g networks , operating at 2,100 mhz frequency .",neutral
327,to be number one means creating added value for stakeholders in everything we do .,positive
328,number of offers received for this contract is two .,neutral
329,donations to universities the annual general meeting authorized the board of directors to donate max .,neutral
330,"it expects revenue between $ 8.4 billion and $ 8.7 billion , compared to analyst estimates of $ 8.67 billion .",neutral
331,lse gets hong kong regulatory nod to hk firms to become lse members,neutral
332,the diameter protocol is developed according to the standards ietf rfc 3588 and ietf rfc 3539 .,neutral
333,underground parking facilities will also be built on the basement floor .,neutral
334,$dish weakness continues again. 49.43 area resistance after last week,neutral
335,#fusioniq new positive timing signal on $sbux today https://t.co/9imlxz4yna please retweet #signals,positive
336,the representative body of swedish meats approved an improved offer from finnish hk ruokatalo to acquire the company .,positive
337,m-real 's sales are expected to have increased by 4 % year-on-year to eur609m in the second quarter of 2010 .,neutral
338,"weber convinced his friend ray ostrom , who owned a lake street sporting goods store , to sell the lures .",positive
339,"$aapl is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?",neutral
340,the most significant challengers in the market are logset and sampo-rosenlew .,neutral
341,the district court of helsinki dismissed all charges as the court of first instance in 2005 .,neutral
342,teleste bk optiflex amplifier products will be used in ongoing capacity upgrade of kdg 's network to bi-directionality .,neutral
343,"the business units of the investlesprom group cover the full forest industry chain , and the group owns forests , sawmills , paper and pulp mills , and other processing plants .",neutral
344,"previously , the company expected its 2008 financial performance to remain at the same level as in 2008 .",neutral
345,insurers: admiral blows hot and cold but aviva soars pre-friends life merger,neutral
346,retail giant kingfisher reports 'solid' start to the year,neutral
347,"maximum amount of terminations in finland is 40 employees , the company added .",neutral
348,$tsla yeah lets go down to 230s lol,positive
349,"the company 's scheduled traffic , measured in revenue passenger kilometres rpk , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in february 2009 .",neutral
350,validating our fgvoip client through symbian signed represents a significant step forward in accomplishing this goal .,positive
351,$ebay  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgu0ybxeze,neutral
352,royal mail gets mixed bag from ofcom postal regulation report,neutral
353,"ragutis , which is based in lithuania 's second-largest city kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",neutral
354,the trade is in accordance with the agreement announced on 26 march 2008 .,positive
355,"initial estimated total value of the contract was 250 000 euros , excluding vat .",neutral
356,shell and bg shareholders to vote on deal at end of january,neutral
357,"after completion of the acquisition , poyry 's oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services .",neutral
358,: lietuvos respublikos sveikatos apsaugos ministerija has awarded contract to uab `` affecto lietuva '' for financial systems software package .,positive
359,the order was worth eur 8mn .,neutral
360,$ibm staying strong,positive
361,$crus upgraded to a buy by alpha street research,neutral
362,#apple up almost 20% from its february lows with very little fanfare. $aapl,neutral
363,"rio tinto swings to loss, drops dividend policy",negative
364,cision says the sale will return its u.k. operation to profitability .,neutral
365,"isolationism? another sell rating, sell ratings on spy, qqq, iwm and several companies https://t.co/j35fnnx744 $aapl #apple $axp $bac",neutral
366,"due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral
367,"in sales volume , coca-cola 's market share has decreased by 2.2 % to 24.2 % .",neutral
368,l&t 's net profit for the whole 2010 dropped to eur 36 million from eur 45 million for 2009 .,neutral
369,"the order consists of outsourced application management , support and planning for tecnotree and third-party applications .",neutral
370,group net sales in the third quarter of 2007 totaled eur 142.3 mn and operating profit eur 4.3 mn .,positive
371,"vaisala , headquartered in helsinki in finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",neutral
372,$spy looks like bear traps getting laid faster than cadbury creme eggs by the easter bunny,neutral
373,finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,neutral
374,"furthermore , the company will sell the warehouse and office buildings in loudeac and saint marcel and lease new joint premises for these operations in morvillars .",neutral
375,sales of mid-strength beer decreased by 40 % .,neutral
376,abn : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of citycon oyj .,neutral
377,the company has 120 employees and annual sales of approximately eur16m .,neutral
378,"according to m-real 's ceo , mikko helander , this transaction will enable the company to proceed swiftly with its restructuring program .",neutral
379,$baba may take a few days wks months watch what happened to $fb $twtr after they ipo. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral
380,"in 2008 , the deal is likely to bring savings of eur 20mn-25mn .",positive
381,"new delhi , july 17 -- sahlberg teppo , kallio timo and mustonen tuomas of m real oyj , espoo , finland have developed novel markings and methods of producing the same .",neutral
382,international operations accounted for over 80 % of net sales .,neutral
383,"these financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .",positive
384,$gild chart: with $ibb back over support. https://t.co/gprz2ujfc4,neutral
385,as a result of the negotiations the employment of 130 blue - and white-collar employees at the oulu plant would be terminated .,neutral
386,operating loss amounted to eur 0.7 mn compared to a profit of eur 0.8 mn in the second quarter of 2005 .,neutral
387,the order also includes extensive maintenance work of a shoe press delivered by vaahto in 2001 .,neutral
388,"thanks to the internet , consumers compare products more than previously and finnish companies are not competitive .",positive
389,"operating profit totalled eur 5.8 mn , up from a loss of eur 1.7 mn in the fourth quarter of 2009 .",neutral
390,the real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,positive
391,earnings per share ( eps ) amounted to a loss of eur0 .38 .,neutral
392,"the biggest sellers in the chain 's supermarkets in finland are organic pirkka tomatoes , carrots , eggs , and meat products .",neutral
393,$aapl long 630.91,neutral
394,the divestment of raisio 's margarine business in may 2009 gave the company a clearer focus on grain-based products .,neutral
395,the total value of the project is valued at sek 30bn ( eur 2.83 bn usd 3.81 bn ) .,positive
396,"@cgrantwsj i think this $tsla bubble might go on for some time. so long as ppl love the cars, they might keep getting funding.",positive
397,"when the product is manufactured in finland , it is also packed in the country .",neutral
398,$luv continues to consolidate above previous break out area...,neutral
399,`` i 'm not sure what 's happening .,neutral
400,"adp news - nov 18 , 2008 - finnish ac drives manufacturer vacon oyj omx : vac1v said today that it had set up new representative offices in romania and ukraine to serve the growing markets in eastern and southeastern europe .",neutral
401,nokia has inaugurated its manufacturing plant near chennai on 11 mar 2006 .,neutral
402,scanfil issued a profit warning on 10 april 2006 .,neutral
403,"the contract includes design , construction , delivery of equipment , installation and commissioning .",neutral
404,"the fixed-term contract of mr. jarmo ukonaho , the current general manager of incap 's indian operations , will finish by the end of the year .",neutral
405,vnh generates annual net sales of about 5 mln eur and employs 21 people .,neutral
406,"finland 's leading metals group outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit .",positive
407,$amzn trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zg,positive
408,it posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,positive
409,the dismissed staff members will now take the matter to court unless it can be settled outside .,neutral
410,linkedin revenue up nearly 50% http://stks.co/g1f4t  $lnkd,neutral
411,lemmink+ñinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .,neutral
412,zao yit moskovia builds housing in moscow and its surrounding cities .,neutral
413,"the value of the deal exceeds eur500 ,000 , the company said .",neutral
414,"the period 's sales dropped to eur 30.6 million from eur 38.3 million , according to the interim report , released today .",neutral
415,"scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in sievi , in finland .",neutral
416,"the repo rate will gradually reach 2 % at the end of 2010 , according to nordea 's economic outlook .",neutral
417,symphony services provides development services for aldata gold .,neutral
418,"`` we have a license agreement with nokia corp. which in part expires on april 9 , 2007 .",positive
419,the divested stake represented about 2.7 m shares in okmetic 's capital .,neutral
420,"$aapl bounce right now has no vol, more vol when it slid",neutral
421,"los angeles-based pacific office properties trust acquires , owns , and operates office properties in the western u.s. , focusing initially on the markets of honolulu , san diego , los angeles , and phoenix .",positive
422,"in finland , the five largest brands control 90 % of the beer market .",neutral
423,"adanac molybdenum of canada has ordered grinding technology for its molybdenum project in british columbia , canada , while shalkiya zinc of kazakhstan has awarded a contract for grinding technology for the shalkiya zinc-lead project in kazakhstan .",positive
424,"as part of the transaction , the +ä+ñnekoski paper mill remained in m-real 's ownership and continued galerie art production for sappi under a long-term contract .",neutral
425,delivery is due in the second half of 2011 .,neutral
426,the agreement is valid for four years .,positive
427,"finnish shipping company finnlines , of the grimaldi group , reports its net sales decreased to eur 241.8 mn in january-june 2009 from eur 384.0 mn in the corresponding period in 2008 .",neutral
428,"it also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year .",positive
429,"many of the commercial vessels had got stuck in the narrow bay of bothnia , where the ice is thicker , and around the aaland islands .",neutral
430,"the venture , which will be 51 % owned by kemira and 49 % by ivrcl , will operate an inorganic coagulant manufacturing facility , to be built in vishakapatnam vizag in the state of andhra pradesh and to kick off operations in the second half of 2011 .",neutral
431,there did not seem to be enough hours in a day for pekkarinen .,neutral
432,"aug. 31 , 2009 (gawker media delivered by newstex)-- if you love fishing video games but felt that there just was n't enough wackiness involved , then activision 's (nasdaq : atvi) rapala : we fish might just catch your eye with its family-fun hook .",positive
433,"cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",neutral
434,"the manufacture of cpps will be undertaken at the existing export oriented unit eou at wartsila 's factory at khopoli , near mumbai .",neutral
435,i see a 20 percent upside in $fb shares from here,neutral
436,"in january-june 2010 , diluted loss per share stood at eur0 .3 versus eur0 .1 in the first half of 2009 .",neutral
437,chime communications set to be acquired by wpp and providence,neutral
438,dixons carphone profit boost on strong sales,positive
439,no other ev3 devices were involved in this action .,neutral
440,`` capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .,neutral
441,"founded in 1994 , the company uses a six-step , time-focused , collaborative project approach to improve financial institutions ' revenue streams .",positive
442,"under the agreement geosentric will provide gypsii-powered hotel information and reservation services to visitors to china , including such popular cities as beijing and shanghai .",positive
443,valga lihatoostus markets its products under the maks & moorits trademark .,neutral
444,finnish consumer packaging manufacturer huhtamaki oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .,neutral
445,"homebuilders - $ryl breaking below support, watch this one.  $spy",neutral
446,"besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' paavel said .",positive
447,like $t for a breakout long as well. getting through the 100 and 200 ma could see it run.,positive
448,"helsinki , finland , sept. 18 , 2009 ( globe newswire ) -- ixonos plc expands the company 's smartphone r&d services and establishes a new next-generation smartphone design unit in connection with ixonos ' site in jyvaeskylae .",neutral
449,"$axdx i got bored, and took my proprietary profit exit. i didn't like the option liquidity and lousy spreads.",neutral
450,"also in latvia , we act as a partner for bakery customers in both production and product development .",neutral
451,"the total donation amount is eur 1,115,000 .",neutral
452,"the facility will be used to refinance citycon 's existing credit facility , the company said .",neutral
453,"finnish real estate company sponda oyj said on april 11 , 2008 it would build vuosaari harbour service center at the port of helsinki .",neutral
454,"in the building and home improvement trade , sales decreased by 6.3 % , totalling eur 154.1 mn .",positive
455,and that 's exactly what happened on a recent weekday when an east haven baker was brought in to remind residents about the easter tradition of making wheat and rice pies .,neutral
456,the company moved to an operating profit of eur10 .9 m versus an operating loss of eur15 .3 m. it also turned to eps of eur0 .08 versus loss per share of eur0 .04 .,neutral
457,the costs of the new ropax vessels are 30 % lower than those of the present ones .,neutral
458,the deal also includes a ten-year maintenance agreement .,positive
459,"talvivaara mining company plc ( talvivaara mining ) ( lse : talv ) , a finland-based nickel mining business , has installed its second production line at its metals recovery plant on june 9 , 2010 .",neutral
460,the transactions would increase earnings per share in the first quarter by some eur0 .28 .,positive
461,market data and analytics are derived from primary and secondary research .,neutral
462,$iwm buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,neutral
463,"cencorp would focus on the development , manufacture and marketing of standard products for production automation .",neutral
464,"crucially , the decision to use etsi ( european telecommunication standard institute ) - backed dvb-h adds to the growing list of operators and equipment manufacturers opting for the standard ( see global : 20 january 2006 : competing technologies vie for mobile tv ) .",neutral
465,"in addition , kone signed a two-year maintenance contract for the escalators .",neutral
466,"the size of the extension , 18.5 % of which already has been let , will have a gross area of about 2,830 sq m 30,460 sq ft .",negative
467,the new location is n't the only change wellmont has in store for its air transport service .,neutral
468,other potential clients include public administration organizations investing in utility networks and services .,neutral
469,"the steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative
470,the ea reng group posted sales of approximately 84 million kroons for 2007 .,neutral
471,barclays share price subdued as bank faces fresh forex probe,positive
472,the markets expect heineken to sell hartwall as a whole or in parts .,neutral
473,"in addition to the tulikivi corporation , he is also currently a member of the board of the following companies : altia corporation , j+ñrvi-suomen portti osuuskunta , osuuskunta kpy , profile vehicles oy and voimatel oy .",neutral
474,"the total investment in the vantaa plant extension will amount to around 10 million euro , and okmetic 's share of the investments will be worth around 2.7 million .",positive
475,"last year , upm cut production , closed mills in finland and slashed 700 jobs .",negative
476,"currently , the plant operates on full capacity .",neutral
477,"the report profiles 614 companies including many key and niche players worldwide such as black & decker corporation , fiskars corporation , fiskars brands , inc. , husqvarna outdoor products inc. , k+s group , ryobi technologies , inc. , the scotts miracle-gro company , and van group , inc. .",neutral
478,walter investment management corp receives a sell from compass point $wac http://stks.co/c1ivx,neutral
479,"the move will be carried out by transferring hkscan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to hkscan finland .",neutral
480,`` it wo n't happen overnight .,neutral
481,chief executive officer olli-pekka kallasvuo 's changes on tuesday mark the third time in nine months the company has reshuffled executives and operations as nokia loses ground to apple 's iphone and rim 's blackberry .,neutral
482,deutsche bank cuts $sbux,neutral
483,irish housebuilder cairn homes plans london listing,neutral
484,"the rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 componenta corporation shares including also the proportion to be paid in cash .",positive
485,"cramo 's manager jarmo laasanen said hiring of equipment and machinery in lithuania differs from the other baltic countries in that in lithuania still many public structures such as roads , bridges , airports and shops are being built .",neutral
486,operating profit for the quarter april-june 2006 amounted to eur42 .9 m on net sales of eur156 .3 m.,positive
487,"$slv pos, been saying it for 2 years. going lower. forget about it or go short.",negative
488,"paper company m-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the co2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car .",positive
489,the company expects to open its first online shop in the us in the summer in 2011 .,neutral
490,the moscow metro ( www.mosmetro.ru ) was the first metro system in europe to implement smart cards together with a new type of magnetic card in 1998 .,neutral
491,"`` small firms are suffering at the moment because they are likely to have money trouble , '' he added .",negative
492,net sales revenue per passenger is expected to increase .,neutral
493,return on capital employed roce was a negative 2.3 % compared to 11.3 % in 2007 .,negative
494,"indigo and somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of may 2007 .",neutral
495,`` i warmly welcome michael frei to outotec .,positive
496,itv share price: group mulls takeover of canada's entertainment one,positive
497,"operating profit for the six-month period decreased from eur111 .9 m , while sales increased from eur1 ,275 m , as compared to the corresponding period in 2006 .",positive
498,"the most significant capital expenditure items were in the global enterprise resource planning erp project , product development and production machines .",neutral
499,kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on jan. 21 and the saltonstall state office building on jan. 23 .,neutral
500,3rd red day in a row ? $tsla,neutral
501,"operating profit totalled eur 0.4 mn , up from an operating loss of eur 0.8 mn year-on-year .",neutral
502,"according to finnish financial services group sampo 's ceo , bj+ârn wahlroos , danish danske bank 's acquisition of sampo bank for eur 4bn was the largest cash deal in finland 's economic history .",neutral
503,"f-secure , a developer of security solutions as a service through internet service providers and mobile operators , announced results from its annual online wellbeing survey .",positive
504,"in december alone , the members of the lithuanian brewers ' association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in december 2004 .",neutral
505,"coca-cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",neutral
506,"barclays plc ( lse : barc ) ( nyse : bcs ) , credit agricole sa ( epa : aca ) ( cagr .",neutral
507,finnish componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .,neutral
508,the veneer and plywood industry in sweden is quite small despite the raw material resources .,neutral
509,"finnish metal products company componenta oyj ( hel : cth1v ) said today its net loss narrowed to eur 500,000 ( usd 680,000 ) in the last quarter of 2010 from eur 5.3 million for the same period a year earlier .",neutral
510,"viking will pay eur 130 million for the new ship , which will be completed in january 2008 .",neutral
511,rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,neutral
512,"according to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",neutral
513,"according to arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",neutral
514,their names have not yet been released .,neutral
515,"also , it is bringing in `` the right kind of people '' to upgrade its human resources .",positive
516,kesko has previously published a stock exchange release concerning the deal on 7 february 2007 .,neutral
517,update 3-ex-barclays director accused by us of illegal tips to plumber,negative
518,l&g completes uk's largest medically underwritten bulk pension risk deal,neutral
519,"lassila & tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was eur11 .3 m , down from eur13 .8 m a year ago .",neutral
520,"honkarakenne mainly exports large luxury log houses to russia to be used as one-family houses or holiday homes ; 70 % of sales go to the moscow region , about 20 % to the st petersburg region , and the remainder to other locations .",neutral
521,the value of the deal was not disclosed .,neutral
522,"hkscan , headquartered in turku , finland , is a leading northern european food group with 10,000 employees in nine countries .",neutral
523,$tsla i see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,neutral
524,"`` they would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said sunrise valley director andrius bagdonas .",neutral
525,"favourable currency rates also contributed to higher net sales , '' ceo kari kauniskangas said .",neutral
526,neste oil corporation refining operation asset summary report summary neste oil corporation refining operation assets summary report is an essential source for company data and information .,positive
527,union and company officials did not return calls yesterday .,neutral
528,"( adp news ) - finnish handling systems provider cargotec oyj ( hel : cgcbv ) announced on friday it won orders worth eur 10 million ( usd 13.2 m ) to deliver linkspans to jordan , morocco and ireland .",neutral
529,"german commerzbank ag 's hamburg branch and us jp morgan ( nyse : jpm ) participated as arrangers , and dutch ing ( ams : inga ) as co-arranger .",neutral
530,global life science industry is strictly regulated by international and national authorities .,neutral
531,"tieto offers aktia a good foundation and the required support services for implementing the update project , ' says juha volotinen , responsible for aktia 's web services .",positive
532,the company will build altogether 130 new substations by the end of this year .,neutral
533,"tiimari , the finnish retailer , reported to have geenrated quarterly revenues totalling eur 1.3 mn in the 4th quarter 2009 , up from eur 0.3 mn loss in 2008 .",neutral
534,his resignation will take effect immediately .,neutral
535,her work at netapp included strategically repositioning the brand in the category and a major global relaunch .,neutral
536,no financial detail were available .,neutral
537,"following the divestment , fiskars 's outdoor unit will comprise the brands gerber , silva and buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats .",neutral
538,cf2 pty ltd became a substantial holder in renison consolidated mines nl on january 25 with 150 million shares ( 7.9 pc ) .,positive
539,"at 1411 cet , arcelormittal had lost 7.26 % to eur 17.38 on euronext paris , coming at the lead of the blue-chip fallers .",neutral
540,and ogden reportedly will shell out $ 4.2 million .,neutral
541,$gale breakout coming soon!,neutral
542,"a in august 2007 , latvijas finieris ordered all production lines for a new green veneer mill to be built in ukmerge , central lithuania .",neutral
543,"foundries division reports its sales increased by 9.7 % to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 % to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .",positive
544,s&p downgrades barclays and rbs on government bailout fears,negative
545,"finnish high technology provider vaahto group reports net sales of eur 41.8 mn in the accounting period september 2007 - february 2008 , an increase of 11.2 % from a year earlier .",neutral
546,$bbry both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,neutral
547,"isolationism? another sell rating, sell ratings on spy, qqq, iwm and several companies https://t.co/6nkwecrba5 $aapl $axp $bac $blue $fxe",neutral
548,the expanded company will continue to be called newpage .,neutral
549,the company said that sales in the three months to the end of march slid to eur86 .4 m us$ 113.4 m from eur91 .2 m last year .,neutral
550,finnish energy company fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,neutral
551,"the refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .",neutral
552,$prgn a bottom right here?,neutral
553,operating profit rose to eur 13.5 mn from eur 9.7 mn in the corresponding period in 2006 .,positive
554,$tsla weakest in todays dt watchlist,negative
555,"tesla: voluntary recall of 2,700 model x vehicles, due to back seat issue. $tsla https://t.co/npakc3u6gs",neutral
556,the manufacturing will begin in pietarsaari in the beginning of the year 2009 and the delivery will take place in october 2009 .,neutral
557,"finnish electronics contract manufacturer scanfil reports net sales of eur 241.2 mn in 2006 , down from eur 321.6 mn in 2005 .",neutral
558,the customers will have an access to integrated propeller and gear packages from one source .,neutral
559,"the add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with metso drive controls .",neutral
560,"yit lodged counter claims against neste oil totaling some eur25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",neutral
561,the reductions will be implemented mainly in the course of the first half of 2009 .,neutral
562,$uvxy put the chum out there at key support then next level down - careful,positive
563,inha works has invested in its product development and market research .,neutral
564,"tesco, asda sales fall as march of the discounters continues: kantar",neutral
565,the first quarter was as expected and was in line with analysts ' forecasts .,neutral
566,"omeo ( www.omeo.se ) employs 55 and expects net sales of some 23 mln euro ( $ 29.8 mln ) for fiscal 2006-2007 , ending april 30 , 2007 .",neutral
567,"at a press conference , lattelecom board chairman nils melngailis explained that blackstone had been chosen for its experience in the it sector as well as its financial strength .",positive
568,the shares represented 4.998 % of total share capital and 2.14 % of total voting rights .,positive
569,mobile data transfer is expected to increase explosively in the lte era .,neutral
570,finnish cutlery and hand tools maker fiskars oyj abp ( hel : fisas ) said today its net profit rose to eur 24.1 million ( usd 33.6 m ) in the third quarter of 2010 from eur 17.9 million a year earlier .,positive
571,$ren bottoming out again.. good time to buy,positive
572,"in addition , the kazakh delegation will visit finland 's sitra investment fund , honkarakenne ltd and nokia headquarters to study teliasonera ltd jsc 's activities .",neutral
573,55 workers in +àm+ñl will be affected by the close-down .,neutral
574,construction is scheduled to start in april-june 2007 and to be completed in early 2008 .,neutral
575,finnish waste management and cleaning group lassila & tikanoja oyj ( l&t ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,neutral
576,operating loss increased to eur 17mn from a loss of eur 10.8 mn in 2005 .,neutral
577,"jarmo honkamaa , head of the oil refining business at neste oil , says the situation looks promising from their viewpoint .",neutral
578,this is the second successful effort for the financial investor this year .,positive
579,"$rnn day traders flushed out, it should start going up slowly from now on .",neutral
580,"` after fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .",neutral
581,"`` the transaction strengthens our position ... in design and branded goods , '' said fiskars president and ceo heikki allonen , pointing out that the two groups have relatively few overlapping operations .",neutral
582,financial terms were n't disclosed .,neutral
583,finnish media group talentum has issued a profit warning .,neutral
584,rubin says he expects capman to announce 1-2 additional transactions in 2009 .,neutral
585,update 1-astrazeneca sells rare cancer drug to sanofi for up to $300 mln,negative
586,the total investment of the project will be approximately eur 36m .,neutral
587,`` demand for sports equipment was good in 2005 .,neutral
588,"according to vauramo , the plant 's lifting equipment is suitable for asian and for some chinese trucks .",neutral
589,how kraft-heinz merger came together in speedy 10 weeks,neutral
590,"igor and oleg yankov , who currently manage moron and vitim , will hold onto the 25 % stake for now .",negative
591,"kauko-telko ltd press release 19.06.2007 at 14.00 1 ( 1 ) telko group ( kauko-telko ) is expanding its strategic partnership with bp industrial lubricants & services ( bp ils ) by acquiring total ownership of bp 's swedish retail company , molub-alloy ab .",neutral
592,"narrows to eur2 .8 m 9-mo '09 29 october 2009 - finnish software and hardware developer elektrobit oyj hel : ebg1v , or eb , said today that its net loss narrowed to eur2 .8 m for the first nine months of 2009 from eur35 .6 m for the same period a year ago .",neutral
593,"vaisala also said it expects net sales of eur 253.2 million for 2010 , compared with eur 252.2 million recorded in 2009 .",neutral
594,"the order also covers design services , hardware , software licences , as well as maintenance services over six years .",neutral
595,"the company will pay a dividend of eur 0.50 per share , a total of eur 14mn .",neutral
596,"compared with the ftse 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",neutral
